Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,2,153
java.io,23,2,140
java.lang,35,2,128
java.lang.reflect,21,2,142
java.net,28,3,136
java.nio.channels,15,1,145
java.security,25,2,138
sun.net.sdp,9,2,154
sun.nio.ch,19,3,145
com.oracle.nio,6,3,159
java.nio,12,2,151
sun.misc,38,2,125
com.oracle.webservices.internal.api,7,2,290
java.lang.annotation,3,1,157
javax.xml.ws,17,4,446
javax.xml.ws.http,2,2,295
javax.xml.ws.soap,7,2,290
javax.xml.ws.spi,15,4,448
com.oracle.webservices.internal.api.databinding,16,3,389
com.oracle.webservices.internal.api.message,15,3,390
com.sun.xml.internal.ws.api,31,4,432
com.sun.xml.internal.ws.api.databinding,22,3,383
com.sun.xml.internal.ws.model,51,6,431
java.util,35,2,128
javax.xml.namespace,6,2,262
javax.xml.transform,7,2,261
org.xml.sax,4,2,264
com.sun.xml.internal.ws.api.message,54,6,415
com.sun.xml.internal.ws.encoding,50,8,560
com.sun.xml.internal.ws.util,38,7,432
javax.xml.soap,9,4,398
com.oracle.webservices.internal.impl.encoding,9,3,396
com.oracle.webservices.internal.impl.internalspi.encoding,4,2,293
com.sun.xml.internal.ws.api.streaming,17,4,392
com.sun.xml.internal.ws.streaming,22,4,441
javax.xml.stream,9,2,259
com.sun.accessibility.internal.resources,2,1,158
com.sun.activation.registries,5,3,161
java.util.logging,20,4,285
com.sun.awt,5,2,293
java.awt,45,4,259
java.awt.geom,7,2,291
sun.awt,62,5,243
com.sun.beans,6,2,292
java.lang.ref,7,2,156
sun.reflect.generics.reflectiveObjects,10,1,150
com.sun.beans.decoder,14,4,395
com.sun.beans.finder,9,2,289
java.beans,27,3,379
javax.xml.parsers,10,2,258
org.xml.sax.helpers,6,2,262
sun.reflect.misc,11,2,152
com.sun.beans.editors,6,2,292
com.sun.beans.util,4,2,294
com.sun.beans.infos,3,2,295
com.sun.corba.se.impl.activation,26,2,248
com.sun.corba.se.impl.legacy.connection,17,2,257
com.sun.corba.se.impl.logging,7,3,271
com.sun.corba.se.impl.naming.cosnaming,16,3,262
com.sun.corba.se.impl.naming.pcosnaming,18,2,256
com.sun.corba.se.impl.oa.poa,30,2,244
com.sun.corba.se.impl.orbutil,28,3,261
com.sun.corba.se.impl.transport,34,2,240
