Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,4,148
java.io,23,9,215
java.lang,35,12,268
java.lang.reflect,21,8,212
java.net,28,9,213
java.nio.channels,15,3,110
java.security,25,10,257
sun.net.sdp,9,4,173
sun.nio.ch,19,6,174
com.oracle.nio,6,3,127
java.nio,12,5,174
sun.misc,38,13,270
com.oracle.webservices.internal.api,7,5,190
java.lang.annotation,3,2,75
javax.xml.ws,17,7,256
javax.xml.ws.http,2,2,89
javax.xml.ws.soap,7,5,216
javax.xml.ws.spi,15,5,208
com.oracle.webservices.internal.api.databinding,16,7,262
com.oracle.webservices.internal.api.message,15,7,261
com.sun.xml.internal.ws.api,31,8,265
com.sun.xml.internal.ws.api.databinding,22,8,266
com.sun.xml.internal.ws.model,51,12,369
java.util,35,13,256
javax.xml.namespace,6,4,176
javax.xml.transform,7,4,150
org.xml.sax,4,3,148
com.sun.xml.internal.ws.api.message,54,9,272
com.sun.xml.internal.ws.encoding,50,14,357
com.sun.xml.internal.ws.util,38,11,325
javax.xml.soap,9,3,153
com.oracle.webservices.internal.impl.encoding,9,4,169
com.oracle.webservices.internal.impl.internalspi.encoding,4,2,143
com.sun.xml.internal.ws.api.streaming,17,10,304
com.sun.xml.internal.ws.streaming,22,11,292
javax.xml.stream,9,4,149
com.sun.accessibility.internal.resources,2,2,118
com.sun.activation.registries,5,3,157
java.util.logging,20,7,178
com.sun.awt,5,4,189
java.awt,45,12,252
java.awt.geom,7,4,159
sun.awt,62,10,226
com.sun.beans,6,3,121
java.lang.ref,7,5,179
sun.reflect.generics.reflectiveObjects,10,4,126
com.sun.beans.decoder,14,8,218
com.sun.beans.finder,9,6,132
java.beans,27,10,266
javax.xml.parsers,10,4,172
org.xml.sax.helpers,6,4,176
sun.reflect.misc,11,8,225
com.sun.beans.editors,6,3,116
com.sun.beans.util,4,3,119
com.sun.beans.infos,3,2,117
com.sun.corba.se.impl.activation,26,7,193
com.sun.corba.se.impl.legacy.connection,17,4,184
com.sun.corba.se.impl.logging,7,3,145
com.sun.corba.se.impl.naming.cosnaming,16,4,185
com.sun.corba.se.impl.naming.pcosnaming,18,5,191
com.sun.corba.se.impl.oa.poa,30,8,188
com.sun.corba.se.impl.orbutil,28,6,210
com.sun.corba.se.impl.transport,34,8,211
com.sun.corba.se.pept.transport,9,3,190
com.sun.corba.se.spi.activation,9,5,200
com.sun.corba.se.spi.activation.LocatorPackage,5,4,155
