Item,Package Size,Module Size,Redundant Count
com.oracle.net,9,1,280
java.io,23,1,266
java.lang,35,2,600
java.lang.reflect,21,2,614
java.net,28,2,607
java.nio.channels,15,1,274
java.security,25,2,610
sun.net.sdp,9,1,280
sun.nio.ch,19,1,270
com.oracle.nio,6,1,283
java.nio,12,2,623
sun.misc,38,2,597
com.oracle.webservices.internal.api,7,3,817
java.lang.annotation,3,2,632
javax.xml.ws,17,3,807
javax.xml.ws.http,2,2,476
javax.xml.ws.soap,7,3,817
javax.xml.ws.spi,15,3,809
com.oracle.webservices.internal.api.databinding,16,3,808
com.oracle.webservices.internal.api.message,15,3,809
com.sun.xml.internal.ws.api,31,3,793
com.sun.xml.internal.ws.api.databinding,22,3,802
com.sun.xml.internal.ws.model,51,3,773
java.util,35,3,789
javax.xml.namespace,6,2,629
javax.xml.transform,7,1,282
org.xml.sax,4,2,631
com.sun.xml.internal.ws.api.message,54,3,770
com.sun.xml.internal.ws.encoding,50,3,774
com.sun.xml.internal.ws.util,38,3,786
javax.xml.soap,9,3,815
com.oracle.webservices.internal.impl.encoding,9,3,815
com.oracle.webservices.internal.impl.internalspi.encoding,4,2,474
com.sun.xml.internal.ws.api.streaming,17,3,807
com.sun.xml.internal.ws.streaming,22,3,802
javax.xml.stream,9,2,469
com.sun.accessibility.internal.resources,2,1,287
com.sun.activation.registries,5,2,630
java.util.logging,20,2,615
com.sun.awt,5,2,630
java.awt,45,3,779
java.awt.geom,7,2,628
sun.awt,62,2,573
com.sun.beans,6,2,629
java.lang.ref,7,2,628
sun.reflect.generics.reflectiveObjects,10,2,625
com.sun.beans.decoder,14,3,810
com.sun.beans.finder,9,2,626
java.beans,27,2,608
javax.xml.parsers,10,3,814
org.xml.sax.helpers,6,2,629
sun.reflect.misc,11,1,278
com.sun.beans.editors,6,2,629
com.sun.beans.util,4,2,631
com.sun.beans.infos,3,1,286
com.sun.corba.se.impl.activation,26,2,609
com.sun.corba.se.impl.legacy.connection,17,2,618
com.sun.corba.se.impl.logging,7,2,628
com.sun.corba.se.impl.naming.cosnaming,16,2,619
